ID,Name,Type,Category,PP,Power,Accuracy,Generation
0,(none),Unknown,Status,0,0,0,1
1,Pound,Normal,Physical,35,40,100,1
2,Karate Chop,Fighting,Physical,25,50,100,1
3,DoubleSlap,Normal,Physical,10,15,85,1
4,Comet Punch,Normal,Physical,15,18,85,1
5,Mega Punch,Normal,Physical,20,80,85,1
6,Pay Day,Normal,Physical,20,40,100,1
7,Fire Punch,Fire,Physical,15,75,100,1
8,Ice Punch,Ice,Physical,15,75,100,1
9,ThunderPunch,Electric,Physical,15,75,100,1
10,Scratch,Normal,Physical,35,40,100,1
11,ViceGrip,Normal,Physical,30,55,100,1
12,Guillotine,Normal,Physical,5,0,30,1
13,Razor Wind,Normal,Special,10,80,100,1
14,Swords Dance,Normal,Status,30,0,0,1
15,Cut,Normal,Physical,30,50,95,1
16,Gust,Flying,Special,35,40,100,1
17,Wing Attack,Flying,Physical,35,60,100,1
18,Whirlwind,Normal,Status,20,0,100,1
19,Fly,Flying,Physical,15,90,95,1
20,Bind,Normal,Physical,20,15,75,1
21,Slam,Normal,Physical,20,80,75,1
22,Vine Whip,Grass,Physical,15,35,100,1
23,Stomp,Normal,Physical,20,65,100,1
24,Double Kick,Fighting,Physical,30,30,100,1
25,Mega Kick,Normal,Physical,5,120,75,1
26,Jump Kick,Fighting,Physical,25,85,95,1
27,Rolling Kick,Fighting,Physical,15,60,85,1
28,Sand-Attack,Ground,Status,15,0,100,1
29,Headbutt,Normal,Physical,15,70,100,1
30,Horn Attack,Normal,Physical,25,65,100,1
31,Fury Attack,Normal,Physical,20,15,85,1
32,Horn Drill,Normal,Physical,5,0,30,1
33,Tackle,Normal,Physical,35,35,95,1
34,Body Slam,Normal,Physical,15,85,100,1
35,Wrap,Normal,Physical,20,15,85,1
36,Take Down,Normal,Physical,20,90,85,1
37,Thrash,Normal,Physical,20,90,100,1
38,Double-Edge,Normal,Physical,15,120,100,1
39,Tail Whip,Normal,Status,30,0,100,1
40,Poison Sting,Poison,Physical,35,15,100,1
41,Twineedle,Bug,Physical,20,25,100,1
42,Pin Missile,Bug,Physical,20,14,85,1
43,Leer,Normal,Status,30,0,100,1
44,Bite,Dark,Physical,25,60,100,1
45,Growl,Normal,Status,40,0,100,1
46,Roar,Normal,Status,20,0,100,1
47,Sing,Normal,Status,15,0,55,1
48,Supersonic,Normal,Status,20,0,55,1
49,SonicBoom,Normal,Special,20,0,90,1
50,Disable,Normal,Status,20,0,80,1
51,Acid,Poison,Special,30,40,100,1
52,Ember,Fire,Special,25,40,100,1
53,Flamethrower,Fire,Special,15,95,100,1
54,Mist,Ice,Status,30,0,0,1
55,Water Gun,Water,Special,25,40,100,1
56,Hydro Pump,Water,Special,5,120,80,1
57,Surf,Water,Special,15,95,100,1
58,Ice Beam,Ice,Special,10,95,100,1
59,Blizzard,Ice,Special,5,120,70,1
60,Psybeam,Psychic,Special,20,65,100,1
61,BubbleBeam,Water,Special,20,65,100,1
62,Aurora Beam,Ice,Special,20,65,100,1
63,Hyper Beam,Normal,Special,5,150,90,1
64,Peck,Flying,Physical,35,35,100,1
65,Drill Peck,Flying,Physical,20,80,100,1
66,Submission,Fighting,Physical,25,80,80,1
67,Low Kick,Fighting,Physical,20,0,100,1
68,Counter,Fighting,Physical,20,0,100,1
69,Seismic Toss,Fighting,Physical,20,0,100,1
70,Strength,Normal,Physical,15,80,100,1
71,Absorb,Grass,Special,25,20,100,1
72,Mega Drain,Grass,Special,15,40,100,1
73,Leech Seed,Grass,Status,10,0,90,1
74,Growth,Normal,Status,40,0,0,1
75,Razor Leaf,Grass,Physical,25,55,95,1
76,SolarBeam,Grass,Special,10,120,100,1
77,PoisonPowder,Poison,Status,35,0,75,1
78,Stun Spore,Grass,Status,30,0,75,1
79,Sleep Powder,Grass,Status,15,0,75,1
80,Petal Dance,Grass,Special,20,90,100,1
81,String Shot,Bug,Status,40,0,95,1
82,Dragon Rage,Dragon,Special,10,0,100,1
83,Fire Spin,Fire,Special,15,15,70,1
84,ThunderShock,Electric,Special,30,40,100,1
85,Thunderbolt,Electric,Special,15,95,100,1
86,Thunder Wave,Electric,Status,20,0,100,1
87,Thunder,Electric,Special,10,120,70,1
88,Rock Throw,Rock,Physical,15,50,90,1
89,Earthquake,Ground,Physical,10,100,100,1
